"","V1","V2"
"1","Azerbaijan","1"
"2","Turkey","1"
"3","Israel","2"
"4","Yugoslavia","2"
"5","Belgium","3"
"6","Netherlands","3"
"7","Denmark","4"
"8","Iceland","4"
"9","Norway","4"
"10","Sweden","4"
"11","Andorra","5"
"12","Spain","5"
"13","France","6"
"14","Portugal","6"
"15","Estonia","7"
"16","Finland","7"
"17","Italy","8"
"18","Poland","8"
"19","Ireland","9"
"20","Latvia","9"
"21","Lithuania","9"
"22","Bosnia&H.","10"
"23","Montenegro","10"
"24","Serbia","10"
"25","Croatia","10"
"26","Slovenia","10"
"27","Albania","11"
"28","Macedonia","11"
"29","Luxembourg","12"
"30","Malta","12"
"31","Armenia","13"
"32","Georgia","13"
"33","Russia","14"
"34","Belarus","14"
"35","Ukraine","14"
"36","Moldova","15"
"37","Romania","15"
"38","Bulgaria","16"
"39","Cyprus","16"
"40","Greece","16"
